#nR_H,a_s,e_s,MA_s,tcol
0.250,0.03273676,0.27,64.46929,100000.00000
0.250,0.03273676,0.13,116.99351,100000.00000
0.250,0.03273676,0.16,136.41230,100000.00000
0.250,0.03273676,0.05,114.01268,100000.00000
0.250,0.03273676,0.52,41.93270,100000.00000
0.250,0.03273676,0.57,150.66240,100000.00000
0.250,0.03273676,0.32,21.55718,100000.00000
0.250,0.03273676,0.18,18.14004,100000.00000
0.250,0.03273676,0.02,15.92865,100000.00000
0.250,0.03273676,0.12,2.78219,100000.00000
0.250,0.03273676,0.29,7.35635,100000.00000
0.250,0.03273676,0.03,13.32804,100000.00000
0.250,0.03273676,0.43,79.33729,100000.00000
0.250,0.03273676,0.13,64.70841,100000.00000
0.250,0.03273676,0.53,42.04939,100000.00000
0.250,0.03273676,0.60,122.99317,3263.94961
0.250,0.03273676,0.16,85.35129,100000.00000
0.250,0.03273676,0.37,83.28236,100000.00000
0.250,0.03273676,0.07,90.48222,100000.00000
0.250,0.03273676,0.20,80.72019,100000.00000
0.250,0.03273676,0.09,161.49884,100000.00000
0.250,0.03273676,0.38,27.30148,100000.00000
0.250,0.03273676,0.31,66.68498,100000.00000
0.250,0.03273676,0.05,29.01983,100000.00000
0.250,0.03273676,0.42,26.75929,100000.00000
0.250,0.03273676,0.33,71.61401,100000.00000
0.250,0.03273676,0.37,134.56969,100000.00000
0.250,0.03273676,0.22,2.04366,100000.00000
0.250,0.03273676,0.18,152.07756,100000.00000
0.250,0.03273676,0.41,144.51362,100000.00000
0.250,0.03273676,0.53,76.99916,100000.00000
0.250,0.03273676,0.29,34.61202,100000.00000
0.250,0.03273676,0.56,172.01727,100000.00000
0.250,0.03273676,0.48,129.42826,100000.00000
0.250,0.03273676,0.12,125.28536,100000.00000
0.250,0.03273676,0.43,94.39025,100000.00000
0.250,0.03273676,0.47,117.25567,100000.00000
0.250,0.03273676,0.57,125.54486,100000.00000
0.250,0.03273676,0.55,125.28371,100000.00000
0.250,0.03273676,0.45,160.68091,100000.00000
0.250,0.03273676,0.05,163.36196,100000.00000
0.250,0.03273676,0.52,179.62814,100000.00000
0.250,0.03273676,0.26,49.21327,100000.00000
0.250,0.03273676,0.02,139.52391,100000.00000
0.250,0.03273676,0.12,167.09734,100000.00000
0.250,0.03273676,0.28,106.18518,100000.00000
0.250,0.03273676,0.42,2.35700,100000.00000
0.250,0.03273676,0.14,104.09042,100000.00000
0.250,0.03273676,0.23,134.28808,100000.00000
0.250,0.03273676,0.27,41.15570,100000.00000
0.250,0.03273676,0.05,13.85638,100000.00000
0.250,0.03273676,0.46,3.31032,100000.00000
0.250,0.03273676,0.33,94.41205,100000.00000
0.250,0.03273676,0.54,41.52057,100000.00000
0.250,0.03273676,0.17,114.31686,100000.00000
0.250,0.03273676,0.37,141.94750,100000.00000
0.250,0.03273676,0.00,94.45616,100000.00000
0.250,0.03273676,0.24,177.51793,100000.00000
0.250,0.03273676,0.23,105.00638,100000.00000
0.250,0.03273676,0.58,46.76465,16910.59932
0.250,0.03273676,0.05,167.34558,100000.00000
0.250,0.03273676,0.41,62.34228,100000.00000
0.250,0.03273676,0.22,66.71559,100000.00000
0.250,0.03273676,0.01,170.79940,100000.00000
