#nR_H,a_s,e_s,MA_s,tcol
0.250,0.01706406,0.37,90.48967,100000.00000
0.250,0.01706406,0.30,82.94018,100000.00000
0.250,0.01706406,0.18,122.94122,100000.00000
0.250,0.01706406,0.17,112.65479,100000.00000
0.250,0.01706406,0.14,15.36254,100000.00000
0.250,0.01706406,0.39,62.22528,100000.00000
0.250,0.01706406,0.11,4.37687,100000.00000
0.250,0.01706406,0.36,64.58949,100000.00000
0.250,0.01706406,0.01,8.36107,100000.00000
0.250,0.01706406,0.49,131.07398,100000.00000
0.250,0.01706406,0.16,2.59083,100000.00000
0.250,0.01706406,0.20,57.60893,100000.00000
0.250,0.01706406,0.23,156.34784,100000.00000
0.250,0.01706406,0.13,143.24268,100000.00000
0.250,0.01706406,0.10,15.14519,100000.00000
0.250,0.01706406,0.20,162.96876,100000.00000
0.250,0.01706406,0.45,32.65838,100000.00000
0.250,0.01706406,0.37,141.94750,100000.00000
0.250,0.01706406,0.30,14.71663,100000.00000
0.250,0.01706406,0.05,33.58261,100000.00000
0.250,0.01706406,0.43,170.30078,100000.00000
0.250,0.01706406,0.02,174.52523,100000.00000
0.250,0.01706406,0.22,100.51277,100000.00000
0.250,0.01706406,0.34,30.75977,100000.00000
0.250,0.01706406,0.46,46.41978,100000.00000
0.250,0.01706406,0.52,86.37761,100000.00000
0.250,0.01706406,0.05,13.85638,100000.00000
0.250,0.01706406,0.12,173.45160,100000.00000
0.250,0.01706406,0.45,25.22037,100000.00000
0.250,0.01706406,0.25,155.89150,100000.00000
0.250,0.01706406,0.38,143.51317,100000.00000
0.250,0.01706406,0.11,116.18501,100000.00000
0.250,0.01706406,0.27,93.62943,100000.00000
0.250,0.01706406,0.25,145.89960,100000.00000
0.250,0.01706406,0.08,57.74041,100000.00000
0.250,0.01706406,0.12,57.04596,100000.00000
0.250,0.01706406,0.00,28.08336,100000.00000
0.250,0.01706406,0.34,51.95350,100000.00000
0.250,0.01706406,0.38,61.57471,100000.00000
0.250,0.01706406,0.20,161.19418,100000.00000
0.250,0.01706406,0.53,39.28570,100000.00000
0.250,0.01706406,0.19,135.15679,100000.00000
0.250,0.01706406,0.35,60.58877,100000.00000
0.250,0.01706406,0.41,96.73121,100000.00000
0.250,0.01706406,0.29,7.35635,100000.00000
0.250,0.01706406,0.50,169.93068,100000.00000
0.250,0.01706406,0.38,26.98514,100000.00000
0.250,0.01706406,0.31,6.60298,100000.00000
0.250,0.01706406,0.28,63.10576,100000.00000
0.250,0.01706406,0.27,109.11143,100000.00000
0.250,0.01706406,0.30,145.11623,100000.00000
0.250,0.01706406,0.38,102.58014,100000.00000
0.250,0.01706406,0.17,85.22492,100000.00000
0.250,0.01706406,0.42,36.92513,100000.00000
0.250,0.01706406,0.45,68.34463,100000.00000
0.250,0.01706406,0.22,15.27079,100000.00000
0.250,0.01706406,0.35,9.32824,100000.00000
0.250,0.01706406,0.11,90.47468,100000.00000
0.250,0.01706406,0.11,43.91814,100000.00000
0.250,0.01706406,0.31,66.40445,100000.00000
0.250,0.01706406,0.06,41.02833,100000.00000
0.250,0.01706406,0.06,19.80935,100000.00000
0.250,0.01706406,0.01,145.51152,100000.00000
0.250,0.01706406,0.51,56.75226,100000.00000
0.250,0.01706406,0.33,155.79128,100000.00000
0.250,0.01706406,0.35,178.19284,100000.00000
0.250,0.01706406,0.04,138.77409,100000.00000
0.250,0.01706406,0.34,27.78529,100000.00000
0.250,0.01706406,0.20,57.47646,100000.00000
0.250,0.01706406,0.22,67.36874,100000.00000
0.250,0.01706406,0.12,66.62857,100000.00000
0.250,0.01706406,0.34,76.57856,100000.00000
0.250,0.01706406,0.12,102.61101,100000.00000
0.250,0.01706406,0.32,106.84664,100000.00000
0.250,0.01706406,0.35,131.55615,100000.00000
0.250,0.01706406,0.03,138.82866,100000.00000
0.250,0.01706406,0.15,125.27536,100000.00000
0.250,0.01706406,0.39,27.60325,100000.00000
0.250,0.01706406,0.26,68.56035,100000.00000
0.250,0.01706406,0.45,48.25145,100000.00000
0.250,0.01706406,0.33,94.41205,100000.00000
0.250,0.01706406,0.36,70.64012,100000.00000
0.250,0.01706406,0.43,48.73404,100000.00000
0.250,0.01706406,0.36,79.04428,100000.00000
0.250,0.01706406,0.32,122.23842,100000.00000
0.250,0.01706406,0.39,125.39715,100000.00000
0.250,0.01706406,0.30,7.07618,100000.00000
0.250,0.01706406,0.31,33.21378,100000.00000
0.250,0.01706406,0.30,90.61511,100000.00000
0.250,0.01706406,0.43,72.13735,100000.00000
0.250,0.01706406,0.05,5.65725,100000.00000
0.250,0.01706406,0.19,77.21892,100000.00000
0.250,0.01706406,0.02,35.27692,100000.00000
0.250,0.01706406,0.24,8.18035,100000.00000
0.250,0.01706406,0.43,4.56954,100000.00000
0.250,0.01706406,0.03,13.32804,100000.00000
0.250,0.01706406,0.23,21.15472,100000.00000
0.250,0.01706406,0.05,41.18367,100000.00000
0.250,0.01706406,0.29,176.40586,100000.00000
0.250,0.01706406,0.18,146.60433,100000.00000
0.250,0.01706406,0.44,71.49304,100000.00000
0.250,0.01706406,0.31,83.25625,100000.00000
0.250,0.01706406,0.37,96.02300,100000.00000
0.250,0.01706406,0.41,144.51362,100000.00000
0.250,0.01706406,0.07,88.10150,100000.00000
0.250,0.01706406,0.19,139.75433,100000.00000
0.250,0.01706406,0.30,124.27107,100000.00000
0.250,0.01706406,0.14,51.57742,100000.00000
0.250,0.01706406,0.54,110.41405,100000.00000
0.250,0.01706406,0.16,98.86080,100000.00000
0.250,0.01706406,0.38,130.00546,100000.00000
0.250,0.01706406,0.29,13.65540,100000.00000
0.250,0.01706406,0.41,81.39923,100000.00000
0.250,0.01706406,0.36,157.89610,100000.00000
0.250,0.01706406,0.06,126.54341,100000.00000
0.250,0.01706406,0.50,157.13025,100000.00000
0.250,0.01706406,0.13,64.70841,100000.00000
0.250,0.01706406,0.28,126.73436,100000.00000
0.250,0.01706406,0.47,157.30021,100000.00000
0.250,0.01706406,0.02,56.10799,100000.00000
0.250,0.01706406,0.23,174.57819,100000.00000
