#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.331,0.00175,0.30213,0.00010,0.18493,1.00000e+10
0.334,0.00175,0.30213,0.00010,0.17754,1.00000e+10
0.187,0.00200,0.18707,0.00010,0.53952,3.87000e+08
0.190,0.00200,0.19005,0.00010,0.53213,4.29000e+08
0.337,0.00175,0.30213,0.00010,0.17016,1.00000e+10
0.193,0.00200,0.19304,0.00010,0.52475,4.75000e+08
0.196,0.00200,0.19603,0.00010,0.51736,5.25000e+08
0.199,0.00200,0.19900,0.00010,0.50997,5.79000e+08
0.202,0.00200,0.20204,0.00010,0.50259,6.39000e+08
0.205,0.00200,0.20502,0.00010,0.49520,7.03000e+08
0.340,0.00175,0.30213,0.00010,0.16277,1.00000e+10
0.208,0.00200,0.20803,0.00010,0.48781,7.73000e+08
0.343,0.00175,0.30213,0.00010,0.15538,1.00000e+10
0.211,0.00200,0.21101,0.00010,0.48042,8.48000e+08
0.346,0.00175,0.30213,0.00010,0.14799,1.00000e+10
0.214,0.00200,0.21403,0.00010,0.47304,9.30000e+08
0.217,0.00200,0.21702,0.00010,0.46565,1.01800e+09
0.349,0.00175,0.30213,0.00010,0.14061,1.00000e+10
0.352,0.00175,0.30213,0.00010,0.13322,1.00000e+10
0.355,0.00175,0.30213,0.00010,0.12583,1.00000e+10
0.220,0.00200,0.22002,0.00010,0.45826,1.11300e+09
0.223,0.00200,0.22300,0.00010,0.45087,1.21500e+09
0.226,0.00200,0.22602,0.00010,0.44349,1.32600e+09
0.229,0.00200,0.22900,0.00010,0.43610,1.44400e+09
0.358,0.00175,0.30213,0.00010,0.11844,1.00000e+10
0.232,0.00200,0.23201,0.00010,0.42871,1.57200e+09
0.235,0.00200,0.23501,0.00010,0.42132,1.70900e+09
0.361,0.00175,0.30213,0.00010,0.11106,1.00000e+10
0.238,0.00200,0.23801,0.00010,0.41394,1.85600e+09
0.241,0.00200,0.24100,0.00010,0.40655,2.01300e+09
0.364,0.00175,0.30213,0.00010,0.10367,1.00000e+10
0.244,0.00200,0.24401,0.00010,0.39916,2.18200e+09
0.247,0.00200,0.24700,0.00010,0.39178,2.36200e+09
0.250,0.00200,0.25000,0.00010,0.38439,2.55500e+09
0.367,0.00175,0.30213,0.00010,0.09628,1.00000e+10
0.253,0.00200,0.25300,0.00010,0.37700,2.76100e+09
0.256,0.00200,0.25600,0.00010,0.36961,2.98100e+09
0.259,0.00200,0.25901,0.00010,0.36223,3.21600e+09
0.373,0.00175,0.30213,0.00010,0.08151,1.00000e+10
0.262,0.00200,0.26201,0.00010,0.35484,3.46600e+09
0.376,0.00175,0.30213,0.00010,0.07412,1.00000e+10
0.265,0.00200,0.26500,0.00010,0.34745,3.73200e+09
0.268,0.00200,0.26801,0.00010,0.34006,4.01600e+09
0.370,0.00175,0.30213,0.00010,0.08889,1.00000e+10
0.379,0.00175,0.30213,0.00010,0.06673,1.00000e+10
0.271,0.00200,0.27101,0.00010,0.33268,4.31700e+09
0.274,0.00200,0.27400,0.00010,0.32529,4.63700e+09
0.382,0.00175,0.30213,0.00010,0.05934,1.00000e+10
0.277,0.00200,0.27700,0.00010,0.31790,4.97700e+09
0.280,0.00200,0.28000,0.00010,0.31051,5.33800e+09
0.283,0.00200,0.28300,0.00010,0.30313,5.72100e+09
0.286,0.00200,0.28600,0.00010,0.29574,6.12700e+09
0.289,0.00200,0.28900,0.00010,0.28835,6.55700e+09
0.292,0.00200,0.29201,0.00010,0.28097,7.01300e+09
0.295,0.00200,0.29500,0.00010,0.27358,7.49400e+09
