#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.226,0.00175,0.18331,0.01108,0.44349,1.00000e+10
0.232,0.00175,0.18340,0.01109,0.42871,1.00000e+10
0.235,0.00175,0.18344,0.01110,0.42132,1.00000e+10
0.241,0.00175,0.18351,0.01111,0.40655,1.00000e+10
0.244,0.00175,0.18355,0.01112,0.39916,1.00000e+10
0.238,0.00175,0.18348,0.01111,0.41394,1.00000e+10
0.247,0.00175,0.18358,0.01112,0.39178,1.00000e+10
0.250,0.00175,0.18361,0.01113,0.38439,1.00000e+10
0.253,0.00175,0.18363,0.01113,0.37700,1.00000e+10
0.256,0.00175,0.18366,0.01114,0.36961,1.00000e+10
0.259,0.00175,0.18368,0.01114,0.36223,1.00000e+10
0.262,0.00175,0.18371,0.01115,0.35484,1.00000e+10
0.265,0.00175,0.18373,0.01115,0.34745,1.00000e+10
0.268,0.00175,0.18375,0.01115,0.34006,1.00000e+10
0.271,0.00175,0.18377,0.01116,0.33268,1.00000e+10
0.274,0.00175,0.18379,0.01116,0.32529,1.00000e+10
0.277,0.00175,0.18380,0.01116,0.31790,1.00000e+10
0.280,0.00175,0.18382,0.01116,0.31051,1.00000e+10
0.283,0.00175,0.18384,0.01117,0.30313,1.00000e+10
0.286,0.00175,0.18385,0.01117,0.29574,1.00000e+10
0.295,0.00175,0.18389,0.01118,0.27358,1.00000e+10
0.289,0.00175,0.18386,0.01117,0.28835,1.00000e+10
0.292,0.00175,0.18388,0.01117,0.28097,1.00000e+10
0.298,0.00175,0.18390,0.01118,0.26619,1.00000e+10
0.301,0.00175,0.18391,0.01118,0.25880,1.00000e+10
0.304,0.00175,0.18392,0.01118,0.25142,1.00000e+10
0.307,0.00175,0.18393,0.01118,0.24403,1.00000e+10
0.313,0.00175,0.18395,0.01119,0.22925,1.00000e+10
0.310,0.00175,0.18394,0.01118,0.23664,1.00000e+10
0.316,0.00175,0.18396,0.01119,0.22187,1.00000e+10
0.319,0.00175,0.18397,0.01119,0.21448,1.00000e+10
0.322,0.00175,0.18397,0.01119,0.20709,1.00000e+10
0.325,0.00175,0.18398,0.01119,0.19970,1.00000e+10
0.331,0.00175,0.18399,0.01119,0.18493,1.00000e+10
0.328,0.00175,0.18399,0.01119,0.19232,1.00000e+10
0.334,0.00175,0.18400,0.01119,0.17754,1.00000e+10
0.337,0.00175,0.18400,0.01120,0.17016,1.00000e+10
0.160,0.00200,0.16001,0.00764,0.60601,3.68900e+09
0.163,0.00200,0.16300,0.00804,0.59862,4.17600e+09
0.340,0.00175,0.18401,0.01120,0.16277,1.00000e+10
0.166,0.00200,0.16600,0.00845,0.59123,4.71700e+09
0.343,0.00175,0.18401,0.01120,0.15538,1.00000e+10
0.169,0.00200,0.16900,0.00887,0.58385,5.31800e+09
0.346,0.00175,0.18402,0.01120,0.14799,1.00000e+10
0.172,0.00200,0.17200,0.00931,0.57646,5.98400e+09
0.175,0.00200,0.17500,0.00976,0.56907,6.72000e+09
