#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.271,0.00200,0.27100,0.00811,0.33268,4.86600e+09
0.376,0.00175,0.29735,0.01046,0.07412,1.00000e+10
0.274,0.00200,0.27400,0.00836,0.32529,5.27100e+09
0.379,0.00175,0.29741,0.01046,0.06673,1.00000e+10
0.382,0.00175,0.29746,0.01047,0.05935,1.00000e+10
0.277,0.00200,0.27700,0.00861,0.31790,5.70800e+09
0.280,0.00200,0.28000,0.00887,0.31052,6.17900e+09
0.283,0.00200,0.28300,0.00913,0.30313,6.68700e+09
0.286,0.00200,0.28600,0.00940,0.29574,7.23600e+09
0.289,0.00200,0.28900,0.00967,0.28835,7.82800e+09
0.292,0.00200,0.29200,0.00994,0.28097,8.46800e+09
0.295,0.00200,0.29500,0.01022,0.27358,9.16100e+09
0.298,0.00200,0.29800,0.01051,0.26619,9.91100e+09
0.301,0.00200,0.29863,0.01057,0.25880,1.00000e+10
0.304,0.00200,0.29895,0.01060,0.25142,1.00000e+10
0.307,0.00200,0.29925,0.01063,0.24403,1.00000e+10
0.310,0.00200,0.29953,0.01066,0.23664,1.00000e+10
0.313,0.00200,0.29980,0.01069,0.22925,1.00000e+10
0.160,0.00225,0.16007,0.00194,0.60601,1.20000e+08
0.316,0.00200,0.30006,0.01071,0.22187,1.00000e+10
0.163,0.00225,0.16311,0.00204,0.59862,1.36000e+08
0.166,0.00225,0.16603,0.00215,0.59123,1.53000e+08
0.319,0.00200,0.30030,0.01073,0.21448,1.00000e+10
0.169,0.00225,0.16912,0.00225,0.58385,1.73000e+08
0.322,0.00200,0.30053,0.01076,0.20709,1.00000e+10
0.325,0.00200,0.30074,0.01078,0.19970,1.00000e+10
0.172,0.00225,0.17206,0.00236,0.57646,1.94000e+08
0.175,0.00225,0.17510,0.00248,0.56907,2.18000e+08
0.178,0.00225,0.17808,0.00259,0.56168,2.44000e+08
0.181,0.00225,0.18101,0.00271,0.55430,2.72000e+08
0.328,0.00200,0.30095,0.01080,0.19232,1.00000e+10
0.184,0.00225,0.18405,0.00284,0.54691,3.04000e+08
0.187,0.00225,0.18700,0.00296,0.53952,3.38000e+08
0.190,0.00225,0.19000,0.00309,0.53214,3.76000e+08
0.331,0.00200,0.30114,0.01082,0.18493,1.00000e+10
0.193,0.00225,0.19303,0.00323,0.52475,4.18000e+08
0.196,0.00225,0.19600,0.00336,0.51736,4.63000e+08
0.334,0.00200,0.30133,0.01084,0.17754,1.00000e+10
0.199,0.00225,0.19902,0.00351,0.50997,5.13000e+08
0.202,0.00225,0.20201,0.00365,0.50259,5.67000e+08
0.337,0.00200,0.30150,0.01085,0.17016,1.00000e+10
0.205,0.00225,0.20501,0.00380,0.49520,6.26000e+08
0.208,0.00225,0.20804,0.00395,0.48781,6.91000e+08
0.340,0.00200,0.30166,0.01087,0.16277,1.00000e+10
0.211,0.00225,0.21104,0.00411,0.48042,7.61000e+08
0.214,0.00225,0.21403,0.00427,0.47304,8.37000e+08
0.343,0.00200,0.30181,0.01089,0.15538,1.00000e+10
0.217,0.00225,0.21701,0.00443,0.46565,9.19000e+08
0.220,0.00225,0.22002,0.00460,0.45826,1.00900e+09
0.346,0.00200,0.30196,0.01090,0.14799,1.00000e+10
0.349,0.00200,0.30209,0.01091,0.14061,1.00000e+10
0.223,0.00225,0.22302,0.00477,0.45087,1.10600e+09
0.226,0.00225,0.22601,0.00495,0.44349,1.21100e+09
0.352,0.00200,0.30222,0.01093,0.13322,1.00000e+10
0.229,0.00225,0.22901,0.00513,0.43610,1.32500e+09
0.232,0.00225,0.23201,0.00532,0.42871,1.44800e+09
0.358,0.00200,0.30245,0.01095,0.11844,1.00000e+10
0.235,0.00225,0.23500,0.00551,0.42133,1.58100e+09
0.361,0.00200,0.30255,0.01096,0.11106,1.00000e+10
0.238,0.00225,0.23801,0.00570,0.41394,1.72500e+09
0.355,0.00200,0.30234,0.01094,0.12583,1.00000e+10
0.241,0.00225,0.24100,0.00590,0.40655,1.88000e+09
0.244,0.00225,0.24401,0.00610,0.39916,2.04800e+09
0.364,0.00200,0.30264,0.01097,0.10367,1.00000e+10
0.247,0.00225,0.24701,0.00630,0.39178,2.22900e+09
0.367,0.00200,0.30273,0.01098,0.09628,1.00000e+10
0.250,0.00225,0.25001,0.00652,0.38439,2.42400e+09
0.253,0.00225,0.25301,0.00673,0.37700,2.63400e+09
0.256,0.00225,0.25601,0.00695,0.36961,2.86000e+09
0.370,0.00200,0.30281,0.01099,0.08889,1.00000e+10
0.259,0.00225,0.25901,0.00717,0.36223,3.10400e+09
0.262,0.00225,0.26201,0.00740,0.35484,3.36600e+09
0.373,0.00200,0.30289,0.01099,0.08151,1.00000e+10
0.265,0.00225,0.26500,0.00763,0.34745,3.64800e+09
0.376,0.00200,0.30295,0.01100,0.07412,1.00000e+10
0.268,0.00225,0.26800,0.00787,0.34006,3.95200e+09
0.271,0.00225,0.27100,0.00811,0.33268,4.27900e+09
0.379,0.00200,0.30301,0.01101,0.06673,1.00000e+10
0.274,0.00225,0.27400,0.00836,0.32529,4.63100e+09
0.277,0.00225,0.27701,0.00861,0.31790,5.01000e+09
0.382,0.00200,0.30306,0.01101,0.05935,1.00000e+10
0.280,0.00225,0.28000,0.00887,0.31052,5.41700e+09
