#nR_H,a_s,e_s,MA_s,tcol
0.250,0.01217904,0.23,94.15761,100000.00000
0.250,0.01217904,0.06,41.02833,100000.00000
0.250,0.01217904,0.20,162.45952,100000.00000
0.250,0.01217904,0.18,18.14004,100000.00000
0.250,0.01217904,0.14,112.12029,100000.00000
0.250,0.01217904,0.02,56.10799,100000.00000
0.250,0.01217904,0.34,109.91161,100000.00000
0.250,0.01217904,0.31,87.21414,100000.00000
0.250,0.01217904,0.55,71.32356,0.64838
0.250,0.01217904,0.35,178.19284,100000.00000
0.250,0.01217904,0.53,122.33651,0.65273
0.250,0.01217904,0.46,21.19519,16.47611
0.250,0.01217904,0.29,7.35635,100000.00000
0.250,0.01217904,0.48,64.02109,1.87988
0.250,0.01217904,0.40,103.73190,100000.00000
0.250,0.01217904,0.04,114.76035,100000.00000
0.250,0.01217904,0.17,115.63547,100000.00000
0.250,0.01217904,0.06,93.38231,100000.00000
0.250,0.01217904,0.08,113.81505,100000.00000
0.250,0.01217904,0.04,155.35862,100000.00000
0.250,0.01217904,0.09,147.10000,100000.00000
0.250,0.01217904,0.25,145.89960,100000.00000
0.250,0.01217904,0.58,97.42798,0.06310
0.250,0.01217904,0.00,107.75853,100000.00000
0.250,0.01217904,0.09,20.42523,100000.00000
0.250,0.01217904,0.05,114.01268,100000.00000
0.250,0.01217904,0.10,28.94545,100000.00000
0.250,0.01217904,0.04,76.95738,100000.00000
0.250,0.01217904,0.06,39.97941,100000.00000
0.250,0.01217904,0.18,152.07756,100000.00000
0.250,0.01217904,0.30,113.02207,100000.00000
0.250,0.01217904,0.23,174.57819,100000.00000
0.250,0.01217904,0.10,116.93392,100000.00000
0.250,0.01217904,0.51,152.01889,3.06676
0.250,0.01217904,0.43,79.33729,22.40838
0.250,0.01217904,0.32,21.55718,100000.00000
0.250,0.01217904,0.57,62.60566,1.23367
0.250,0.01217904,0.16,85.35129,100000.00000
0.250,0.01217904,0.47,117.25567,3.68251
0.250,0.01217904,0.14,160.20096,100000.00000
0.250,0.01217904,0.58,149.78415,0.58529
0.250,0.01217904,0.53,132.76481,0.63968
0.250,0.01217904,0.28,88.58093,100000.00000
0.250,0.01217904,0.47,75.37869,1.24237
0.250,0.01217904,0.15,28.15867,100000.00000
0.250,0.01217904,0.05,56.58408,100000.00000
0.250,0.01217904,0.58,176.61351,0.66035
0.250,0.01217904,0.28,78.74549,100000.00000
0.250,0.01217904,0.13,116.99351,100000.00000
0.250,0.01217904,0.34,76.57856,100000.00000
