#e_p,R_H,f_stab
0.190,0.490,1.00000
0.190,0.500,0.80000
0.190,0.510,0.75000
0.190,0.520,0.60000
0.190,0.530,0.60000
0.190,0.540,0.40000
0.190,0.550,0.35000
0.190,0.560,0.35000
0.190,0.570,0.30000
0.190,0.580,0.25000
0.190,0.590,0.20000
0.190,0.600,0.15000
0.190,0.610,0.10000
0.190,0.620,0.10000
0.190,0.630,0.05000
0.190,0.640,-0.05000
0.190,0.650,-0.05000
0.190,0.660,-0.05000
0.190,0.670,-0.05000
0.190,0.680,-0.05000
0.190,0.690,-0.05000
0.190,0.700,-0.05000
0.200,0.250,1.00000
0.200,0.260,1.00000
0.200,0.270,1.00000
0.200,0.280,1.00000
0.200,0.290,1.00000
0.200,0.300,1.00000
0.200,0.310,1.00000
0.200,0.320,1.00000
0.200,0.330,0.95000
0.200,0.340,1.00000
0.200,0.350,1.00000
0.200,0.360,1.00000
0.200,0.370,1.00000
0.200,0.380,1.00000
0.200,0.390,1.00000
0.200,0.400,1.00000
0.200,0.410,1.00000
0.200,0.420,1.00000
0.200,0.430,1.00000
0.200,0.440,1.00000
0.200,0.450,0.95000
0.200,0.460,0.95000
0.200,0.470,0.95000
0.200,0.480,0.95000
0.200,0.490,0.90000
0.200,0.500,0.70000
0.200,0.510,0.60000
0.200,0.520,0.45000
0.200,0.530,0.35000
0.200,0.540,0.40000
0.200,0.550,0.40000
0.200,0.560,0.45000
0.200,0.570,0.45000
0.200,0.580,0.40000
0.200,0.590,0.40000
0.200,0.600,0.35000
0.200,0.610,0.30000
0.200,0.620,0.20000
0.200,0.630,0.05000
0.200,0.640,0.05000
0.200,0.650,-0.05000
0.200,0.660,0.10000
0.200,0.670,0.05000
0.200,0.680,0.10000
0.200,0.690,-0.05000
0.200,0.700,-0.05000
0.210,0.250,1.00000
0.210,0.260,1.00000
0.210,0.270,1.00000
0.210,0.280,1.00000
0.210,0.290,1.00000
0.210,0.300,1.00000
0.210,0.310,1.00000
0.210,0.320,1.00000
0.210,0.330,1.00000
0.210,0.340,0.90000
0.210,0.350,0.95000
0.210,0.360,1.00000
0.210,0.370,1.00000
0.210,0.380,1.00000
0.210,0.390,1.00000
0.210,0.400,1.00000
0.210,0.410,1.00000
0.210,0.420,0.95000
0.210,0.430,1.00000
0.210,0.440,1.00000
0.210,0.450,0.85000
0.210,0.460,0.95000
0.210,0.470,0.90000
0.210,0.480,0.95000
0.210,0.490,0.65000
0.210,0.500,0.80000
0.210,0.510,0.75000
0.210,0.520,0.50000
0.210,0.530,0.45000
0.210,0.540,0.50000
0.210,0.550,0.50000
0.210,0.560,0.50000
0.210,0.570,0.45000
0.210,0.580,0.45000
0.210,0.590,0.45000
0.210,0.600,0.35000
0.210,0.610,0.35000
0.210,0.620,0.25000
0.210,0.630,0.15000
0.210,0.640,-0.05000
0.210,0.650,-0.05000
0.210,0.660,0.05000
0.210,0.670,0.10000
0.210,0.680,0.15000
0.210,0.690,0.10000
0.210,0.700,-0.05000
0.220,0.250,1.00000
0.220,0.260,1.00000
0.220,0.270,1.00000
0.220,0.280,1.00000
0.220,0.290,1.00000
0.220,0.300,1.00000
0.220,0.310,1.00000
0.220,0.320,0.95000
0.220,0.330,0.95000
0.220,0.340,0.90000
0.220,0.350,0.95000
0.220,0.360,1.00000
0.220,0.370,1.00000
0.220,0.380,1.00000
0.220,0.390,1.00000
0.220,0.400,1.00000
0.220,0.410,0.95000
0.220,0.420,1.00000
0.220,0.430,1.00000
0.220,0.440,0.95000
0.220,0.450,0.80000
0.220,0.460,0.90000
0.220,0.470,0.90000
0.220,0.480,0.95000
0.220,0.490,0.75000
0.220,0.500,0.65000
0.220,0.510,0.65000
0.220,0.520,0.55000
0.220,0.530,0.35000
0.220,0.540,0.30000
0.220,0.550,0.35000
0.220,0.560,0.45000
0.220,0.570,0.50000
0.220,0.580,0.50000
0.220,0.590,0.50000
0.220,0.600,0.40000
0.220,0.610,0.45000
0.220,0.620,0.30000
0.220,0.630,0.15000
