#nR_H,a_s,e_s,MA_s,tcol
0.250,0.01217904,0.40,93.39085,1000000.00000
0.250,0.01217904,0.56,14.58832,1000000.00000
0.250,0.01217904,0.10,42.70484,1000000.00000
0.250,0.01217904,0.51,107.32858,1000000.00000
0.250,0.01217904,0.56,153.21724,1000000.00000
0.250,0.01217904,0.07,137.09153,1000000.00000
0.250,0.01217904,0.27,153.39267,1000000.00000
0.250,0.01217904,0.08,96.43944,1000000.00000
0.250,0.01217904,0.26,44.52266,1000000.00000
0.250,0.01217904,0.10,15.14519,1000000.00000
0.250,0.01217904,0.41,71.67037,1000000.00000
0.250,0.01217904,0.55,146.84996,1000000.00000
0.250,0.01217904,0.13,143.24268,1000000.00000
0.250,0.01217904,0.31,45.43865,1000000.00000
0.250,0.01217904,0.46,49.01532,1000000.00000
0.250,0.01217904,0.47,149.35352,1000000.00000
0.250,0.01217904,0.56,13.70355,1000000.00000
0.250,0.01217904,0.21,88.99565,1000000.00000
0.250,0.01217904,0.27,171.72919,1000000.00000
0.250,0.01217904,0.50,102.23014,1000000.00000
0.250,0.01217904,0.49,123.91243,1000000.00000
0.250,0.01217904,0.58,140.37217,34523.44731
0.250,0.01217904,0.35,22.37350,1000000.00000
0.250,0.01217904,0.46,164.57378,1000000.00000
0.250,0.01217904,0.34,27.78529,1000000.00000
0.250,0.01217904,0.29,13.65540,1000000.00000
0.250,0.01217904,0.37,54.24802,1000000.00000
0.250,0.01217904,0.56,155.18297,1000000.00000
0.250,0.01217904,0.11,88.65318,1000000.00000
0.250,0.01217904,0.10,161.73975,1000000.00000
0.250,0.01217904,0.41,40.42887,1000000.00000
0.250,0.01217904,0.24,49.92861,1000000.00000
0.250,0.01217904,0.53,177.13502,1000000.00000
0.250,0.01217904,0.25,125.66911,1000000.00000
0.250,0.01217904,0.05,114.55387,1000000.00000
0.250,0.01217904,0.04,159.69829,1000000.00000
0.250,0.01217904,0.43,67.19568,1000000.00000
0.250,0.01217904,0.33,51.31713,1000000.00000
0.250,0.01217904,0.01,110.13352,1000000.00000
0.250,0.01217904,0.13,156.07302,1000000.00000
0.250,0.01217904,0.07,9.26618,1000000.00000
0.250,0.01217904,0.10,29.09317,1000000.00000
0.250,0.01217904,0.46,94.62423,1000000.00000
0.250,0.01217904,0.56,159.97465,1000000.00000
0.250,0.01217904,0.45,46.69622,1000000.00000
0.250,0.01217904,0.27,5.18088,1000000.00000
0.250,0.01217904,0.36,64.58949,1000000.00000
0.250,0.01217904,0.25,123.25161,1000000.00000
0.250,0.01217904,0.59,113.87194,860589.15504
0.250,0.01217904,0.10,40.36848,1000000.00000
0.250,0.01217904,0.11,70.75759,1000000.00000
0.250,0.01217904,0.12,167.09734,1000000.00000
0.250,0.01217904,0.03,177.63965,1000000.00000
0.250,0.01217904,0.45,32.65838,1000000.00000
0.250,0.01217904,0.33,28.92265,1000000.00000
0.250,0.01217904,0.15,14.12215,1000000.00000
0.250,0.01217904,0.21,21.07206,1000000.00000
0.250,0.01217904,0.32,160.29491,1000000.00000
0.250,0.01217904,0.11,43.91814,1000000.00000
0.250,0.01217904,0.28,106.18518,1000000.00000
0.250,0.01217904,0.32,15.64565,1000000.00000
0.250,0.01217904,0.46,30.90227,1000000.00000
0.250,0.01217904,0.08,66.20096,1000000.00000
0.250,0.01217904,0.45,78.50277,1000000.00000
0.250,0.01217904,0.02,58.55946,1000000.00000
0.250,0.01217904,0.55,104.41552,1000000.00000
0.250,0.01217904,0.58,46.76465,1000000.00000
0.250,0.01217904,0.21,15.13922,1000000.00000
0.250,0.01217904,0.57,158.55674,1000000.00000
0.250,0.01217904,0.38,61.57471,1000000.00000
0.250,0.01217904,0.42,74.63234,1000000.00000
0.250,0.01217904,0.03,64.52383,1000000.00000
0.250,0.01217904,0.52,179.62814,1000000.00000
0.250,0.01217904,0.43,115.91992,1000000.00000
0.250,0.01217904,0.60,143.06572,1000000.00000
0.250,0.01217904,0.43,128.87500,1000000.00000
0.250,0.01217904,0.48,119.46081,1000000.00000
0.250,0.01217904,0.41,65.23090,1000000.00000
0.250,0.01217904,0.50,127.00353,1000000.00000
0.250,0.01217904,0.32,21.55718,1000000.00000
0.250,0.01217904,0.36,143.14812,1000000.00000
0.250,0.01217904,0.48,107.11403,1000000.00000
0.250,0.01217904,0.50,6.11028,1000000.00000
0.250,0.01217904,0.04,4.57544,1000000.00000
0.250,0.01217904,0.12,30.50869,1000000.00000
0.250,0.01217904,0.28,71.37770,1000000.00000
0.250,0.01217904,0.25,170.96398,1000000.00000
0.250,0.01217904,0.31,19.29096,1000000.00000
0.250,0.01217904,0.25,75.28375,1000000.00000
0.250,0.01217904,0.52,112.95098,877178.75400
0.250,0.01217904,0.33,161.41778,1000000.00000
0.250,0.01217904,0.11,130.04138,1000000.00000
0.250,0.01217904,0.02,98.40785,1000000.00000
0.250,0.01217904,0.19,154.51430,1000000.00000
0.250,0.01217904,0.15,125.27536,1000000.00000
0.250,0.01217904,0.41,62.45158,1000000.00000
0.250,0.01217904,0.51,21.70204,1000000.00000
0.250,0.01217904,0.57,118.52133,1000000.00000
0.250,0.01217904,0.16,2.59083,1000000.00000
0.250,0.01217904,0.40,127.30295,1000000.00000
