#nR_H,a_s,e_s,MA_s,tcol
0.250,0.02016585,0.53,76.99916,1.40232
0.250,0.02016585,0.07,50.15636,100000.00000
0.250,0.02016585,0.50,177.78024,23.21354
0.250,0.02016585,0.17,103.58535,100000.00000
0.250,0.02016585,0.18,50.73386,100000.00000
0.250,0.02016585,0.35,60.58877,61529.19469
0.250,0.02016585,0.22,2.04366,100000.00000
0.250,0.02016585,0.05,41.18367,100000.00000
0.250,0.02016585,0.10,98.77208,100000.00000
0.250,0.02016585,0.57,101.83175,0.19702
0.250,0.02016585,0.38,61.57471,6802.37279
0.250,0.02016585,0.27,120.90612,100000.00000
0.250,0.02016585,0.05,167.34558,100000.00000
0.250,0.02016585,0.43,118.60631,65.68170
0.250,0.02016585,0.50,6.11028,46.38305
0.250,0.02016585,0.50,157.13025,27.06586
0.250,0.02016585,0.60,124.86280,0.10430
0.250,0.02016585,0.59,127.47098,0.14371
0.250,0.02016585,0.21,15.13922,100000.00000
0.250,0.02016585,0.07,26.08108,100000.00000
0.250,0.02016585,0.19,167.53632,100000.00000
0.250,0.02016585,0.53,42.04939,3.11755
0.250,0.02016585,0.12,167.09734,100000.00000
0.250,0.02016585,0.37,142.92453,100000.00000
0.250,0.02016585,0.09,140.37760,100000.00000
0.250,0.02016585,0.58,60.32139,1.36291
0.250,0.02016585,0.26,151.58141,100000.00000
0.250,0.02016585,0.58,111.04685,0.12748
0.250,0.02016585,0.01,170.79940,100000.00000
0.250,0.02016585,0.24,63.60340,100000.00000
0.250,0.02016585,0.11,102.29555,100000.00000
0.250,0.02016585,0.41,144.51362,48584.21908
0.250,0.02016585,0.28,162.74857,100000.00000
0.250,0.02016585,0.24,50.57337,100000.00000
0.250,0.02016585,0.27,41.15570,100000.00000
0.250,0.02016585,0.57,111.35005,0.33609
0.250,0.02016585,0.40,20.38285,45211.82537
0.250,0.02016585,0.58,19.25652,5.25926
0.250,0.02016585,0.17,169.24144,100000.00000
0.250,0.02016585,0.58,51.66686,1.39536
0.250,0.02016585,0.37,83.28236,75330.04428
0.250,0.02016585,0.56,172.01727,2.68410
0.250,0.02016585,0.18,3.27993,100000.00000
0.250,0.02016585,0.23,134.28808,100000.00000
0.250,0.02016585,0.06,65.45333,100000.00000
0.250,0.02016585,0.27,5.18088,100000.00000
0.250,0.02016585,0.02,15.92865,100000.00000
0.250,0.02016585,0.60,122.99317,0.10199
0.250,0.02016585,0.43,94.39025,127.42764
0.250,0.02016585,0.20,171.10929,100000.00000
0.250,0.02016585,0.24,8.18035,100000.00000
0.250,0.02016585,0.04,94.09191,100000.00000
0.250,0.02016585,0.09,61.39194,100000.00000
0.250,0.02016585,0.22,67.36874,100000.00000
0.250,0.02016585,0.30,165.75703,100000.00000
0.250,0.02016585,0.49,123.91243,26.93142
0.250,0.02016585,0.32,160.29491,100000.00000
0.250,0.02016585,0.36,133.40172,7576.00153
0.250,0.02016585,0.39,125.39715,6952.24212
0.250,0.02016585,0.01,30.69434,100000.00000
0.250,0.02016585,0.55,166.99541,2.67715
0.250,0.02016585,0.27,111.65572,100000.00000
0.250,0.02016585,0.05,13.85638,100000.00000
0.250,0.02016585,0.06,58.17653,100000.00000
0.250,0.02016585,0.59,8.23357,5.28476
0.250,0.02016585,0.09,166.44485,100000.00000
0.250,0.02016585,0.12,17.49177,100000.00000
0.250,0.02016585,0.53,69.17880,1.42086
0.250,0.02016585,0.06,154.93150,100000.00000
0.250,0.02016585,0.33,94.41205,100000.00000
0.250,0.02016585,0.16,136.41230,100000.00000
0.250,0.02016585,0.57,125.54486,0.16225
0.250,0.02016585,0.02,165.93736,100000.00000
0.250,0.02016585,0.37,141.94750,85165.07482
0.250,0.02016585,0.58,46.76465,1.36059
0.250,0.02016585,0.11,70.75759,100000.00000
0.250,0.02016585,0.21,25.73850,100000.00000
0.250,0.02016585,0.28,111.97561,100000.00000
0.250,0.02016585,0.53,177.13502,21.80891
0.250,0.02016585,0.13,156.07302,100000.00000
0.250,0.02016585,0.01,106.63462,100000.00000
0.250,0.02016585,0.25,29.27105,100000.00000
0.250,0.02016585,0.28,92.51811,100000.00000
0.250,0.02016585,0.14,106.34999,100000.00000
0.250,0.02016585,0.18,12.48503,100000.00000
0.250,0.02016585,0.11,66.18885,100000.00000
0.250,0.02016585,0.16,153.98290,100000.00000
0.250,0.02016585,0.27,93.62943,100000.00000
0.250,0.02016585,0.04,138.77409,100000.00000
0.250,0.02016585,0.03,20.85643,100000.00000
0.250,0.02016585,0.30,15.96646,100000.00000
0.250,0.02016585,0.25,130.62951,100000.00000
0.250,0.02016585,0.29,176.40586,100000.00000
0.250,0.02016585,0.24,177.51793,100000.00000
0.250,0.02016585,0.06,60.77073,100000.00000
0.250,0.02016585,0.13,178.20969,100000.00000
0.250,0.02016585,0.35,122.67049,24026.75776
0.250,0.02016585,0.18,69.49847,100000.00000
0.250,0.02016585,0.35,84.88371,98632.81067
0.250,0.02016585,0.11,103.84270,100000.00000
0.250,0.02016585,0.13,145.68501,100000.00000
0.250,0.02016585,0.37,160.90067,53126.18371
0.250,0.02016585,0.38,147.82631,22276.05553
0.250,0.02016585,0.51,155.16768,16.72117
0.250,0.02016585,0.40,132.55996,31833.02188
0.250,0.02016585,0.42,32.04647,7323.60320
0.250,0.02016585,0.58,91.34419,0.16689
0.250,0.02016585,0.02,93.61224,100000.00000
0.250,0.02016585,0.24,49.92861,100000.00000
0.250,0.02016585,0.59,12.21067,4.76324
0.250,0.02016585,0.36,143.14812,14908.79047
0.250,0.02016585,0.46,76.53843,5.15728
0.250,0.02016585,0.27,153.39267,100000.00000
0.250,0.02016585,0.12,77.07315,100000.00000
0.250,0.02016585,0.12,30.50869,100000.00000
0.250,0.02016585,0.37,163.16498,84292.48893
0.250,0.02016585,0.11,130.04138,100000.00000
0.250,0.02016585,0.47,108.09304,33.39134
0.250,0.02016585,0.08,96.43944,100000.00000
0.250,0.02016585,0.08,40.76924,100000.00000
0.250,0.02016585,0.36,32.62195,84186.93510
0.250,0.02016585,0.43,4.56954,7486.35529
0.250,0.02016585,0.08,92.17675,100000.00000
0.250,0.02016585,0.19,125.41269,100000.00000
0.250,0.02016585,0.27,139.01731,100000.00000
0.250,0.02016585,0.51,21.70204,69.59196
0.250,0.02016585,0.59,104.79068,0.10894
0.250,0.02016585,0.39,163.52110,5605.24463
0.250,0.02016585,0.54,63.02255,3.94039
0.250,0.02016585,0.23,116.85785,100000.00000
0.250,0.02016585,0.49,143.89486,41.24200
0.250,0.02016585,0.16,2.59083,100000.00000
0.250,0.02016585,0.47,99.75204,15.45097
0.250,0.02016585,0.18,162.96312,100000.00000
0.250,0.02016585,0.56,117.94356,0.15762
0.250,0.02016585,0.11,175.14190,100000.00000
0.250,0.02016585,0.05,91.54272,100000.00000
0.250,0.02016585,0.09,43.53341,100000.00000
0.250,0.02016585,0.27,157.79765,100000.00000
0.250,0.02016585,0.50,131.80048,5.30330
0.250,0.02016585,0.52,143.78098,2.70496
0.250,0.02016585,0.23,160.40576,100000.00000
0.250,0.02016585,0.33,28.92265,61839.99890
0.250,0.02016585,0.34,43.63375,99894.92748
0.250,0.02016585,0.33,174.50468,84118.93785
0.250,0.02016585,0.46,97.49416,25.82579
0.250,0.02016585,0.53,75.84426,1.44404
0.250,0.02016585,0.48,51.96487,14.29435
0.250,0.02016585,0.12,100.22423,100000.00000
0.250,0.02016585,0.53,7.57677,25.89533
0.250,0.02016585,0.31,48.46378,59981.52231
0.250,0.02016585,0.39,101.72397,27499.25134
0.250,0.02016585,0.10,29.09317,100000.00000
0.250,0.02016585,0.50,127.00353,43.82875
0.250,0.02016585,0.45,68.34463,16.82316
0.250,0.02016585,0.28,24.54687,100000.00000
0.250,0.02016585,0.06,169.72375,100000.00000
0.250,0.02016585,0.50,102.23014,1.56457
0.250,0.02016585,0.14,51.57742,100000.00000
0.250,0.02016585,0.23,67.47670,100000.00000
0.250,0.02016585,0.03,64.52383,100000.00000
0.250,0.02016585,0.22,88.67252,100000.00000
0.250,0.02016585,0.07,137.09153,100000.00000
0.250,0.02016585,0.26,179.39463,100000.00000
0.250,0.02016585,0.55,31.30115,6.50165
0.250,0.02016585,0.34,120.35578,83918.77521
0.250,0.02016585,0.01,17.58098,100000.00000
0.250,0.02016585,0.31,83.25625,100000.00000
0.250,0.02016585,0.11,90.47468,100000.00000
0.250,0.02016585,0.39,97.69040,82672.12791
0.250,0.02016585,0.10,117.35303,100000.00000
0.250,0.02016585,0.33,155.79128,38703.48927
0.250,0.02016585,0.56,13.70355,3.95430
0.250,0.02016585,0.25,96.49735,100000.00000
0.250,0.02016585,0.08,7.33953,100000.00000
0.250,0.02016585,0.42,6.57894,873.18158
0.250,0.02016585,0.54,84.13227,0.22715
0.250,0.02016585,0.32,106.84664,100000.00000
0.250,0.02016585,0.32,51.07966,100000.00000
0.250,0.02016585,0.16,75.52801,100000.00000
0.250,0.02016585,0.56,14.58832,4.01225
0.250,0.02016585,0.23,13.28338,100000.00000
0.250,0.02016585,0.42,107.16930,76691.68844
0.250,0.02016585,0.35,95.86610,100000.00000
